188,abhimaddita,.adj:base.,.pp.,abhimaddati,crushed$subdued.,,,,1,100,11,concise,en
191,abhimanthati,.v.,.3p.$.sg.$.pres.,,crushes$churns$agitates.,,abhi+manth+a,,1,100,12,concise,en
192,abhimanthesi,.v.,.aor.,abhimanthet,curshed$shurned$agitated.,,,,1,100,12,concise,en
193,abhimantheti,.v.,.3p.$.sg.$.pres.,,crushes$churns$agitates.,,abhi+manth+e,,1,100,12,concise,en
194,abhimanthi,.v.,.aor.,abhimanthat,crushed$churned$agitated.,,,,1,100,10,concise,en
195,abhimanthita,.adj:base.,.pp.,abhimanthati,crushed$churned$agitated.,,,,1,100,12,concise,en
196,abhimata,.adj:base.,.pp.,abhimaññati,intended$wished for.,,,,1,100,8,concise,en
190,abhimaṅgala,.adj:base.,,,lucky$auspicious.,,,,1,100,11,concise,en
197,abhimukha,.adj:base.,,,facing$present$face to face with,,,,1,100,9,concise,en
198,abhimukha,.n:base.,.m.,,the front,,,,1,100,9,concise,en
199,abhimukhaṃ,.adv.,,,towards.,,,,1,100,10,concise,en
189,abhimāna,.n:base.,.m.,,self-respect.,,,,1,100,8,concise,en
200,abhinadati,.v.,.3p.$.sg.$.pres.,,resounds.,,abhi+nad+a,,1,100,10,concise,en
201,abhinadi,.v.,.aor.,abhinadat,resounded.,,,,1,100,8,concise,en
202,abhinadita,.adj:base.,.pp.,abhinadati,resounded,,,,1,100,10,concise,en
203,abhinadita,.n:base.,.nt.,,the noise,,,,1,100,10,concise,en
21743,abhinadī,,,,one who rejoices$ enjoying.,,,,1,100,6,concise,en
205,abhinamati,.v.,.3p.$.sg.$.pres.,,bends$bows down.,,abhi+nam+a,,1,100,10,concise,en
206,abhinami,.v.,.aor.,abhinamat,bent$bowed down.,,,,1,100,8,concise,en
207,abhinandana,.n:base.,.nt.,,rejoicing$delight.,,,,1,100,11,concise,en
208,abhinandati,.v.,.3p.$.sg.$.pres.,,rejoices at$finds pleasure in$approves of.,,abhi+nand+a,,1,100,11,concise,en
209,abhinandi,.v.,.aor.,abhinandat,rejoiced at.,,,,1,100,9,concise,en
211,abhinandita,.n:base.,.nt.,,an object of pleasure,,,,1,100,11,concise,en
210,abhinandī,.adj:base.,,,one who rejoices$enjoying.,,,,1,100,9,concise,en
212,abhinata,.adj:base.,.pp.,abhinamati,bent$bowed down to.,,,,1,100,8,concise,en
213,abhinava,.adj:base.,,,new$fresh.,,,,1,100,8,concise,en
214,abhinayana,.n:base.,.nt.,,1. bringing to$2. inquiry.,,,,1,100,10,concise,en
219,abhinibbatta,.adj:base.,.pp.,abhinibbatteti,reproduced$reborn.,,,,1,100,12,concise,en
220,abhinibbattana,.n:base.,.nt.,,birth$becoming.,,,,1,100,14,concise,en
221,abhinibbattesi,.v.,.aor.,abhinibbattet,reproduced$brought into existence.,,,,1,100,14,concise,en
222,abhinibbatteti,.v.,.3p.$.sg.$.pres.,,reproduces$brings into existence.,,abhi+ni+vat+e,,1,100,14,concise,en
223,abhinibbatti,.n:base.,.f.,,birth$becoming.,,,,1,100,12,concise,en
224,abhinibbidā,.n:base.,.f.,,disgust with the world.,,,,1,100,11,concise,en
225,abhinibbuta,.adj:base.,,,perfectly calmed.,,,,1,100,11,concise,en
230,abhinikkhamana,.n:base.,.nt.,,renunciation$retirement from the household life.,,,,1,100,14,concise,en
231,abhinikkhamati,.v.,.3p.$.sg.$.pres.,,goes forth from$retires from the world.,,abhi+ni+kam+a,,1,100,14,concise,en
232,abhinikkhami,.v.,.aor.,abhinikkhamat,went forth from$retired from the world.,,,,1,100,12,concise,en
233,abhinikkhamma,.v.ind.,.abs.,abhinikkhamat,having gone forth from$having retired form the world.,,,,1,100,13,concise,en
234,abhinikkhanta,.adj:base.,.pp.,abhinikkhamati,gone forth from$retired from the world.,,,,1,100,13,concise,en
235,abhinikkhipana,.n:base.,.nt.,,putting down.,,,,1,100,14,concise,en
236,abhinikkhipati,.v.,.3p.$.sg.$.pres.,,lays down.,,abhi+ni+khip+a,,1,100,14,concise,en
237,abhinikkhipi,.v.,.aor.,abhinikkhipat,laid down.,,,,1,100,12,concise,en
238,abhinikkhitta,.adj:base.,.pp.,abhinikkhipati,laid down.,,,,1,100,13,concise,en
239,abhinikūjita,.adj:base.,,,resounded with (the song of birds),,,,1,100,12,concise,en
242,abhinimmita,.adj:base.,.pp.,abhinimmiṇāti,created$produced$made.,,,,1,100,11,concise,en
241,abhinimmiṇi,.v.,.aor.,abhinimmiṇāt,created$produced$made.,,,,1,100,11,concise,en
240,abhinimmiṇāti,.v.,.3p.$.sg.$.pres.,,creates$produces$makes.,,abhi+ni+mā+ṇā,,1,100,13,concise,en
243,abhinipajjati,.v.,.3p.$.sg.$.pres.,,lies down on.,,abhi+ni+pad+ya,,1,100,13,concise,en
244,abhinipajji,.v.,.aor.,abhinipajjat,lay down on.,,,,1,100,11,concise,en
245,abhinipanna,.adj:base.,.pp.,abhinipajjati,lain down on.,,,,1,100,11,concise,en
247,abhinipatati,.v.,.3p.$.sg.$.pres.,,falls down$to rush on.,,abhi+ni+pat+a,,1,100,12,concise,en
248,abhinipati,.v.,.aor.,abhinipatat,fell down$rushed on.,,,,1,100,10,concise,en
253,abhinipphajjati,.v.,.3p.$.sg.$.pres.,,becomes accomplished.,,abhi+ni+pad+ya,,1,100,15,concise,en
254,abhinipphajji,.v.,.aor.,abhinipphajjat,became accomplished.,,,,1,100,13,concise,en
255,abhinipphanna,.adj:base.,.pp.,abhinipphajjati,become accomplished.,,,,1,100,13,concise,en
256,abhinipphatti,.n:base.,.f.,,production$accomplishment.,,,,1,100,13,concise,en
250,abhinipphādesi,.v.,.aor.,abhinipphādet,produced$brought into existence.,,,,1,100,14,concise,en
251,abhinipphādeti,.v.,.3p.$.sg.$.pres.,,produces$brings into existence.,,abhi+ni+pad+e,,1,100,14,concise,en
252,abhinipphādita,.adj:base.,.pp.,abhinipphādeti,produced$accomplished.,,,,1,100,14,concise,en
257,abhinippīḷeti,.v.,.3p.$.sg.$.pres.,,oppresses or crushes thoroughly.,,abhi+ni+pīḷ+e,,1,100,13,concise,en
246,abhinipāta,.n:base.,.m.,,falling against$rushing on$attacking.,,,,1,100,10,concise,en
249,abhinipātī,.adj:base.,,,falling on.,,,,1,100,10,concise,en
258,abhiniropana,.n:base.,.nt.,,fixing upon$application.,,,,1,100,12,concise,en
259,abhiniropesi,.v.,.aor.,abhiniropet,implanted.,,,,1,100,12,concise,en
260,abhiniropeti,.v.,.3p.$.sg.$.pres.,,implants.,,abhi+ni+rup+e,,1,100,12,concise,en
261,abhiniropita,.adj:base.,.pp.,abhiniropeti,implanted.,,,,1,100,12,concise,en
264,abhinisinna,.adj:base.,.pp.,abhinisīdati,sat near.,,,,1,100,11,concise,en
265,abhinissaṭa,.adj:base.,.pp.,abhinissarati,escaped or removed from.,,,,1,100,11,concise,en
262,abhinisīdati,.v.,.3p.$.sg.$.pres.,,sits near.,,abhi+ni+sad+a,,1,100,12,concise,en
263,abhinisīdi,.v.,.aor.,abhinisīdat,sat near.,,,,1,100,10,concise,en
267,abhinitana,.n:base.,.nt.,,falling against$rushing on$attacking.,,,,1,100,10,concise,en
268,abhinivesa,.n:base.,.m.,,inclination$tendency.,,,,1,100,10,concise,en
269,abhinivisati,.v.,.3p.$.sg.$.pres.,,clings to$adheres.,,abhi+ni+vis+a,,1,100,12,concise,en
270,abhinivisi,.v.,.aor.,abhinivisat,clinged to$adhered.,,,,1,100,10,concise,en
271,abhiniviṭṭha,.adj:base.,.pp.,abhinivisati,attached to$clinging to.,,,,1,100,12,concise,en
204,abhinādita,.adj:base.,.pp.,abhinadati,resounded with.,,,,1,100,10,concise,en
227,abhinīharati,.v.,.3p.$.sg.$.pres.,,takes out$directs to$aspires.,,abhi+ni+har+a,,1,100,12,concise,en
228,abhinīhari,.v.,.aor.,abhinīharat,took out$directed to$aspired.,,,,1,100,10,concise,en
229,abhinīhaṭa,.adj:base.,.pp.,abhiniharati,taken out.,,,,1,100,10,concise,en
226,abhinīhāra,.n:base.,.m.,,taking out$aspiration$resolution.,,,,1,100,10,concise,en
266,abhinīta,.adj:base.,.pp.,abhineti,brought to.,,,,1,100,8,concise,en
282,abhipatthesi,.v.,.aor.,abhipatthet,longed or hoped for.,,,,1,100,12,concise,en
283,abhipattheti,.v.,.3p.$.sg.$.pres.,,longs or hopes for.,,abhi+path+e,,1,100,12,concise,en
284,abhipatthita,.adj:base.,.pp.,abhipattheti,longed or hoped for.,,,,1,100,12,concise,en
288,abhippakiṇṇa,.adj:base.,.pp.,abhippakirati,completely strewn with.,,,,1,100,12,concise,en
289,abhippamodati,.v.,.3p.$.sg.$.pres.,,rejoices$satisfies.,,abhi+p+mud+a,,1,100,13,concise,en
290,abhippamodi,.v.,.aor.,abhippamodat,rejoiced$satisfied.,,,,1,100,11,concise,en
291,abhippamodita,.adj:base.,.pp.,abhippamodati,rejoiced$satisfied.,,,,1,100,13,concise,en
293,abhippasanna,.adj:base.,.pp.,abhippasīdati,having faith in$devoted to.,,,,1,100,12,concise,en
292,abhippasāda,.n:base.,.m.,,faith$devotion.,,,,1,100,11,concise,en
294,abhippasāresi,.v.,.aor.,abhippasāret,stretched out.,,,,1,100,13,concise,en
295,abhippasāreti,.v.,.3p.$.sg.$.pres.,,stretches out.,,abhi+pa+sar+e,,1,100,13,concise,en
296,abhippasīdati,.v.,.3p.$.sg.$.pres.,,has faith in$devotes.,,abhi+pa+sad+a,,1,100,13,concise,en
297,abhippasīdi,.v.,.aor.,abhippasīdat,had faith in$devoted.,,,,1,100,11,concise,en
279,abhipālesi,.v.,.aor.,abhipālet,protected$preserved.,,,,1,100,10,concise,en
280,abhipāleti,.v.,.3p.$.sg.$.pres.,,protects$preserves.,,abhi+pāl+e,,1,100,10,concise,en
281,abhipālita,.adj:base.,.pp.,abhipāleti,protected$preserved.,,,,1,100,10,concise,en
285,abhipīḷesi,.v.,.aor.,abhipīḷet,oppressed$squeezed.,,,,1,100,10,concise,en
286,abhipīḷeti,.v.,.3p.$.sg.$.pres.,,oppresses$squeezes.,,abhi+pīḷ+e,,1,100,10,concise,en
287,abhipīḷita,.adj:base.,.pp.,abhipīḷeti,oppressed$squeezed.,,,,1,100,10,concise,en
298,abhipūrati,.v.,.3p.$.sg.$.pres.,,becomes full.,,abhi+pūr+a,,1,100,10,concise,en
299,abhipūri,.v.,.aor.,abhipūrat,became full.,,,,1,100,8,concise,en
300,abhipūrita,.adj:base.,.pp.,abhipūrati,become full.,,,,1,100,10,concise,en
301,abhiraddha,.adj:base.,.pp.,abhi+rādh,of satisfied$propitiated.,,,,1,100,10,concise,en
302,abhiraddhi,.n:base.,.f.,,satisfaction,,,,1,100,10,concise,en
304,abhirakkhana,.n:base.,.nt.,,protection.,,,,1,100,12,concise,en
305,abhirakkhati,.v.,.3p.$.sg.$.pres.,,protects.,,abhi+rakkh+a,,1,100,12,concise,en
306,abhirakkhi,.v.,.aor.,abhirakkhat,protected.,,,,1,100,10,concise,en
303,abhirakkhā,.n:base.,.f.,,protection.,,,,1,100,10,concise,en
308,abhiramana,.n:base.,.nt.,,enjoyment$sport.,,,,1,100,10,concise,en
309,abhiramanta,.adj:base.,.prp.,abhiramati,enjoying.,,,,1,100,11,concise,en
312,abhiramati,.v.,.3p.$.sg.$.pres.,,enjoys$finds pleasure in.,,abhi+ram+a,,1,100,10,concise,en
313,abhirami,.v.,.aor.,abhiramat,enjoyed$found pleasure in.,,,,1,100,8,concise,en
310,abhiramāpesi,.v.,.aor.,abhiramāpet,caused one to take pleasure.,,,,1,100,12,concise,en
311,abhiramāpeti,.v.,.3p.$.sg.$.pres.,,causes one to take pleasure.,,abhi+ram+āpe,,1,100,12,concise,en
314,abhirata,.adj:base.,.pp.,abhiramati,fond of$indulging in.,,,,1,100,8,concise,en
