id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
100146,ekūnatiṃsāti,.un.,,,,,ekūnatiṃsā+iti,,1,60,12,union,cm
100147,ekuppādāti,.un.,,,,,ekuppādā+iti,,1,60,10,union,cm
100148,elāti,.un.,,,,,elā+iti,,1,60,5,union,cm
100149,etadatthāti,.un.,,,,,etadatthā+iti,,1,60,11,union,cm
100150,ethāti,.un.,,,,,ethā+iti,,1,60,6,union,cm
100151,ettakoyevāti,.un.,,,,,ettako+eva+iti,,1,80,12,union,cm
100152,evamādimāhāti,.un.,,,,,evamādimāhā+iti,,1,60,13,union,cm
100153,evaṃbhūtāti,.un.,,,,,evaṃbhūtā+iti,,1,60,11,union,cm
100154,evamidhāti,.un.,,,,,evamidhā+iti,,1,60,10,union,cm
100155,evaṃladdhikattāti,.un.,,,,,evaṃladdhikattā+iti,,1,60,17,union,cm
100156,gabbhāti,.un.,,,,,gabbhā+iti,,1,60,8,union,cm
100157,gabbhitenāti,.un.,,,,,gabbhitenā+iti,,1,60,12,union,cm
100158,gacchantiyevāti,.un.,,,,,gacchanti+eva+iti,,1,80,15,union,cm
100159,gahaṇañcāti,.un.,,,,,gahaṇaṃ+ca+iti,,1,80,11,union,cm
100160,gāhāpentiyāti,.un.,,,,,gāhāpentiyā+iti,,1,60,13,union,cm
100161,gāhāpetvāti,.un.,,,,,gāhāpetvā+iti,,1,60,11,union,cm
100162,gāhayissāmāti,.un.,,,,,gāhayissāmā+iti,,1,60,13,union,cm
100163,gahetabbāvāti,.un.,,,,,gahetabbāvā+iti,,1,60,13,union,cm
100164,gāhethāti,.un.,,,,,gāhethā+iti,,1,60,9,union,cm
100165,gahitanāmattāti,.un.,,,,,gahitanāmattā+iti,,1,60,15,union,cm
100166,gahitāvāti,.un.,,,,,gahitāvā+iti,,1,60,10,union,cm
100167,gāmampassāti,.un.,,,,,gāmampassā+iti,,1,60,12,union,cm
100168,gamanatthattāti,.un.,,,,,gamanatthattā+iti,,1,60,15,union,cm
100169,gamanavasenāti,.un.,,,,,gamanavasenā+iti,,1,60,14,union,cm
100170,gāmaṇikābhāvenāti,.un.,,,,,gāmaṇikābhāvenā+iti,,1,60,17,union,cm
100171,gāmāti,.un.,,,,,gāmā+iti,,1,60,6,union,cm
100172,gambhīratāti,.un.,,,,,gambhīratā+iti,,1,60,12,union,cm
100173,gamitāti,.un.,,,,,gamitā+iti,,1,60,8,union,cm
100174,gamitthāti,.un.,,,,,gamitthā+iti,,1,60,10,union,cm
100175,gaṇassāti,.un.,,,,,gaṇassā+iti,,1,60,9,union,cm
