id,book,par_num,level,class,title,text
NULL,p34,212,100,gathalast,,"Saggaṭṭho so mahītale."
NULL,p34,213,8,hangnum,43.,43.
NULL,p34,214,100,gatha1,," Duṭṭhā bhariyā saṭhaṃ mittaṃ,"
NULL,p34,215,100,gatha2,,"Bhacco cuttaradāyako;"
NULL,p34,216,100,gatha3,,"Sa sappeca gahe vāso,"
NULL,p34,217,100,gathalast,,"Maccureva nasaṃsayo."
NULL,p34,218,8,hangnum,44.,44.
NULL,p34,219,100,gatha1,," Mātā  yassa gehe natthi,"
NULL,p34,220,100,gatha2,,"Bhariyācā piyavādinī;"
NULL,p34,221,100,gatha3,,"Araññaṃ tena gantabbaṃ,"
NULL,p34,222,100,gathalast,,"Yathā raññaṃ tathāgahaṃ."
NULL,p34,223,8,hangnum,45.,45.
NULL,p34,224,100,gatha1,," Iṇakattā  pitā sattu,"
NULL,p34,225,100,gatha2,,"Mātā ca byabhicārinī;"
NULL,p34,226,100,gatha3,,"Bhariyā rūpavatī sattu,"
NULL,p34,227,100,gathalast,,"Putto sattu apaṇḍito."
NULL,p34,228,8,hangnum,46.,46.
NULL,p34,229,100,gatha1,," Kokilānaṃ  saro rūpaṃ,"
NULL,p34,230,100,gatha2,,"Nārī rūpaṃ patibbatā;"
NULL,p34,231,100,gatha3,,"Vijjā rūpaṃ kurūpānaṃ,"
NULL,p34,232,100,gathalast,,"Khamā rūpaṃ tapassinaṃ."
NULL,p34,233,8,hangnum,47.,47.
NULL,p34,234,100,gatha1,," Avijjaṃ jīvanaṃ suññaṃ,"
NULL,p34,235,100,gatha2,,"Disā suññā abandhavā;"
NULL,p34,236,100,gatha3,,"Puttahīnaṃ gahaṃ suññaṃ,"
NULL,p34,237,100,gathalast,,"Sabbasuññā daliddatā."
NULL,p34,238,8,hangnum,48.,48.
NULL,p34,239,100,gatha1,," Adātā vaṃsadosena,"
NULL,p34,240,100,gatha2,,"Kammadosā daliddatā;"
NULL,p34,241,100,gatha3,,"Ummādā mātudosena,"
NULL,p34,242,100,gathalast,,"Pitudosena mūḷhatā."
NULL,p34,243,8,hangnum,49.,49.
NULL,p34,244,100,gatha1,," Guru  aggi dvijādīnaṃ,"
NULL,p34,245,100,gatha2,,"Vaṇṇānaṃ brāhmaṇo guru;"
NULL,p34,246,100,gatha3,,"Pati reko gurutthīnaṃ,"
NULL,p34,247,100,gathalast,,"Sabbassābhyāgato guru."
NULL,p34,248,8,hangnum,50.,50.
NULL,p34,249,100,gatha1,," Atidabbe  hatā laṅkā,"
NULL,p34,250,100,gatha2,,"Atimāne ca koravā;"
NULL,p34,251,100,gatha3,,"Atidāne balībaddho,"
NULL,p34,252,100,gathalast,,"Sabbamaccanta gahitaṃ."
NULL,p34,253,8,hangnum,51.,51.
NULL,p34,254,100,gatha1,," Vatthahīno  tvalaṅkāro,"
NULL,p34,255,100,gatha2,,"Ghatahīnañca bhojanaṃ;"
NULL,p34,256,100,gatha3,,"Thanahīnā ca yānārī,"
NULL,p34,257,100,gathalast,,"Vijjāhīnañca jīvanaṃ."
