id,book,name,term,m_title,p_title,abbr
121,104,Mahāvaggaṭṭhakathā,dīghanikāya-aṭṭhakathā,dīghanikāya-aṭṭhakathā,dīghanikāya-aṭṭhakathā,dī. ṭṭha.
122,105,Pāthikavaggaṭṭhakathā,dīghanikāya-aṭṭhakathā,dīghanikāya-aṭṭhakathā,dīghanikāya-aṭṭhakathā,dī. ṭṭha.
123,106,Therīgāthā-aṭṭhakathā,therīgāthā-aṭṭhakathā,therīgāthā-aṭṭhakathā,therīgāthā-aṭṭhakathā,therī. ṭṭha.
124,107,Apadāna-aṭṭhakathā,apadāna-aṭṭhakathā,apadāna-aṭṭhakathā,apadāna-aṭṭhakathā,apa. ṭṭha.
125,108,Buddhavaṃsa-aṭṭhakathā,buddhavaṃsa-aṭṭhakathā,buddhavaṃsa-aṭṭhakathā,buddhavaṃsa-aṭṭhakathā,buddhavaṃ. ṭṭha.
126,109,Cariyāpiṭaka-aṭṭhakathā,cariyāpiṭaka-aṭṭhakathā,cariyāpiṭaka-aṭṭhakathā,cariyāpiṭaka-aṭṭhakathā,cariyā. ṭṭha.
127,110,Jātaka-aṭṭhakathā(Paṭhamo bhāgo),jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jā. ṭṭha.
128,111,Jātaka-aṭṭhakathā(Dutiyo bhāgo),jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jā. ṭṭha.
129,112,Jātaka-aṭṭhakathā(Tatiyo bhāgo),jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jā. ṭṭha.
130,113,Jātaka-aṭṭhakathā(Catuttho bhāgo),jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jā. ṭṭha.
131,113,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jā. ṭṭha.
132,114,Jātaka-aṭṭhakathā(Pañcamo bhāgo),jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jā. ṭṭha.
133,115,Jātaka-aṭṭhakathā(Chaṭṭho bhāgo),jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jā. ṭṭha.
134,116,Khuddakapāṭha-aṭṭhakathā,khuddakapāṭha-aṭṭhakathā,khuddakapāṭha-aṭṭhakathā,khuddakapāṭha-aṭṭhakathā,khuddaka. ṭṭha.
135,117,Jātaka-aṭṭhakathā(Sattamo bhāgo),jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jātaka-aṭṭhakathā,jā. ṭṭha.
136,118,Mahāniddesa-aṭṭhakathā,mahāniddesa-aṭṭhakathā,mahāniddesa-aṭṭhakathā,mahāniddesa-aṭṭhakathā,mahāni. ṭṭha.
137,119,Cūḷaniddesa-aṭṭhakathā,cūḷaniddesa-aṭṭhakathā,cūḷaniddesa-aṭṭhakathā,cūḷaniddesa-aṭṭhakathā,cūḷani. ṭṭha.
138,120,Paṭisambhidāmagga-aṭṭhakathā,paṭisambhidāmagga-aṭṭhakathā,paṭisambhidāmagga-aṭṭhakathā,paṭisambhidāmagga-aṭṭhakathā,paṭisaṃ. ṭṭha.
139,121,Nettippakaraṇa-aṭṭhakathā,nettippakaraṇa-aṭṭhakathā,nettippakaraṇa-aṭṭhakathā,nettippakaraṇa-aṭṭhakathā,netti. ṭṭha.
140,122,Dhammapada-aṭṭhakathā,dhammapada-aṭṭhakathā,dhammapada-aṭṭhakathā,dhammapada-aṭṭhakathā,dhamma. ṭṭha.
141,123,Udāna-aṭṭhakathā,udāna-aṭṭhakathā,udāna-aṭṭhakathā,udāna-aṭṭhakathā,udāna. ṭṭha.
142,124,Itivuttaka-aṭṭhakathā,itivuttaka-aṭṭhakathā,itivuttaka-aṭṭhakathā,itivuttaka-aṭṭhakathā,itivutta. ṭṭha.
143,125,Suttanipāta-aṭṭhakathā,suttanipāta-aṭṭhakathā,suttanipāta-aṭṭhakathā,suttanipāta-aṭṭhakathā,suttani. ṭṭha.
144,126,Vimānavatthu-aṭṭhakathā,vimānavatthu-aṭṭhakathā,vimānavatthu-aṭṭhakathā,vimānavatthu-aṭṭhakathā,vimāna. ṭṭha.
145,127,Petavatthu-aṭṭhakathā,petavatthu-aṭṭhakathā,petavatthu-aṭṭhakathā,petavatthu-aṭṭhakathā,peta. ṭṭha.
146,128,Theragāthā-aṭṭhakathā(Paṭhamo bhāgo),Theragāthā-aṭṭhakathā,Theragāthā-aṭṭhakathā,Theragāthā-aṭṭhakathā,thera. ṭṭha.
147,129,Theragāthā-aṭṭhakathā(Dutiyo bhāgo),Theragāthā-aṭṭhakathā,Theragāthā-aṭṭhakathā,Theragāthā-aṭṭhakathā,thera. ṭṭha.
148,130,Mūlapaṇṇāsa-aṭṭhakathā,majimanikaya-aṭṭhakathā,majimanikaya-aṭṭhakathā,majimanikaya-aṭṭhakathā,ma. ṭṭha.
149,131,Majjhimapaṇṇāsa-aṭṭhakathā,majimanikaya-aṭṭhakathā,majimanikaya-aṭṭhakathā,majimanikaya-aṭṭhakathā,ma. ṭṭha.
150,132,Uparipaṇṇāsa-aṭṭhakathā,majimanikaya-aṭṭhakathā,majimanikaya-aṭṭhakathā,majimanikaya-aṭṭhakathā,ma. ṭṭha.
151,133,Sagāthāvagga-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃ. ṭṭha.
152,134,Nidānavagga-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃ. ṭṭha.
153,135,Khandhavagga-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃ. ṭṭha.
154,136,Saḷāyatanavagga-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃ. ṭṭha.
155,137,Mahāvagga-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃyuttanikāya-aṭṭhakathā,saṃ. ṭṭha.
156,138,Pārājikakaṇḍa-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vi. ṭṭha.
157,139,Pācittiya-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vi. ṭṭha.
158,140,Mahāvagga-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vi. ṭṭha.
159,141,Cūḷavagga-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vi. ṭṭha.
160,142,Parivāra-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vinaya-aṭṭhakathā,vi. ṭṭha.
161,143,Therāpadānapāḷi(Paṭhamo bhāgo),therāpadānapāḷi,therāpadānapāḷi,therāpadānapāḷi,apa.
162,144,Therāpadānapāḷi(Dutiyo bhāgo),therāpadānapāḷi,therāpadānapāḷi,therāpadānapāḷi,apa.
163,144,therīapadānapāḷi,therīapadānapāḷi,therīapadānapāḷi,therīapadānapāḷi,therīapadānapāḷi
164,145,Buddhavaṃsapāḷi,buddhavaṃsapāḷi,buddhavaṃsapāḷi,buddhavaṃsapāḷi,buddhavaṃ.
165,146,Cariyāpiṭakapāḷi,cariyāpiṭakapāḷi,cariyāpiṭakapāḷi,cariyāpiṭakapāḷi,cariyā.
166,147,Jātakapāḷi(Dutiyo bhāgo),jātakapāḷi,jātakapāḷi,jātakapāḷi,jā.
167,148,Jātakapāḷi(Paṭhamo bhāgo),jātakapāḷi,jātakapāḷi,jātakapāḷi,jā.
168,149,Mahāniddesapāḷi,mahāniddesapāḷi,mahāniddesapāḷi,mahāniddesapāḷi,mahāni.
169,150,Cūḷaniddesapāḷi,cūḷaniddesapāḷi,cūḷaniddesapāḷi,cūḷaniddesapāḷi,cūḷani.
