id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
555,kāyo,.pron.,.f.$.pl.$.nom.,ka,,,,,1,100,4,irregular,cm
556,ke,.pron.,.m.$.pl.$.acc.,ka,,,,,1,100,2,irregular,cm
557,ke,.pron.,.m.$.sg.$.nom.,ka,,,,,1,100,2,irregular,cm
558,ke,.pron.,.m.$.pl.$.nom.,ka,,,,,1,100,2,irregular,cm
559,kebhi,.pron.,.m.$.pl.$.abl.,ka,,,,,1,100,5,irregular,cm
560,kebhi,.pron.,.nt.$.pl.$.abl.,ka,,,,,1,100,5,irregular,cm
561,kebhi,.pron.,.m.$.pl.$.inst.,ka,,,,,1,100,5,irregular,cm
562,kebhi,.pron.,.nt.$.pl.$.inst.,ka,,,,,1,100,5,irregular,cm
563,kehi,.pron.,.m.$.pl.$.abl.,ka,,,,,1,100,4,irregular,cm
564,kehi,.pron.,.nt.$.pl.$.abl.,ka,,,,,1,100,4,irregular,cm
565,kehi,.pron.,.m.$.pl.$.inst.,ka,,,,,1,100,4,irregular,cm
566,kehi,.pron.,.nt.$.pl.$.inst.,ka,,,,,1,100,4,irregular,cm
567,kena,.pron.,.m.$.sg.$.inst.,ka,,,,,1,100,4,irregular,cm
568,kena,.pron.,.nt.$.sg.$.inst.,ka,,,,,1,100,4,irregular,cm
569,kesaṃ,.pron.,.m.$.pl.$.dat.,ka,,,,,1,100,5,irregular,cm
570,kesaṃ,.pron.,.nt.$.pl.$.dat.,ka,,,,,1,100,5,irregular,cm
571,kesaṃ,.pron.,.m.$.pl.$.gen.,ka,,,,,1,100,5,irregular,cm
572,kesaṃ,.pron.,.nt.$.pl.$.gen.,ka,,,,,1,100,5,irregular,cm
573,kesānaṃ,.pron.,.m.$.pl.$.dat.,ka,,,,,1,100,7,irregular,cm
574,kesānaṃ,.pron.,.nt.$.pl.$.dat.,ka,,,,,1,100,7,irregular,cm
575,kesānaṃ,.pron.,.m.$.pl.$.gen.,ka,,,,,1,100,7,irregular,cm
576,kesānaṃ,.pron.,.nt.$.pl.$.gen.,ka,,,,,1,100,7,irregular,cm
577,kesu,.pron.,.m.$.pl.$.loc.,ka,,,,,1,100,4,irregular,cm
578,kesu,.pron.,.nt.$.pl.$.loc.,ka,,,,,1,100,4,irregular,cm
579,kiṃ,.pron.,.nt.$.sg.$.acc.,ka,,,,,1,100,3,irregular,cm
580,kiṃ,.pron.,.nt.$.sg.$.nom.,ka,,,,,1,100,3,irregular,cm
581,kissa,.pron.,.m.$.sg.$.dat.,ka,,,,,1,100,5,irregular,cm
582,kissa,.pron.,.nt.$.sg.$.dat.,ka,,,,,1,100,5,irregular,cm
583,kissa,.pron.,.m.$.sg.$.gen.,ka,,,,,1,100,5,irregular,cm
584,kissa,.pron.,.nt.$.sg.$.gen.,ka,,,,,1,100,5,irregular,cm
585,ko,.pron.,.m.$.sg.$.nom.,ka,,,,,1,100,2,irregular,cm
586,pitu,.n:base.,.m.,,父$父亲$爸爸$老爸$老豆,,,,1,100,4,Kosalla_China,zh-hans
587,pitu,.n:base.,.m.,,father$dad,,,,1,100,4,Kosalla_China,cm
588,petyā,.n.,.m.$.sg.$.inst.,pitu,,,,,1,100,5,irregular,cm
589,pita,.n.,.m.$.sg.$.voc.,pitu,,,,,1,100,4,irregular,cm
590,pitā,.n.,.m.$.sg.$.nom.,pitu,,,,,1,100,4,irregular,cm
591,pitā,.n.,.m.$.sg.$.voc.,pitu,,,,,1,100,4,irregular,cm
592,pitānaṁ,.n.,.m.$.pl.$.dat.,pitu,,,,,1,100,7,irregular,cm
593,pitānaṁ,.n.,.m.$.pl.$.gen.,pitu,,,,,1,100,7,irregular,cm
594,pitarā,.n.,.m.$.sg.$.abl.,pitu,,,,,1,100,6,irregular,cm
595,pitarā,.n.,.m.$.sg.$.inst.,pitu,,,,,1,100,6,irregular,cm
596,pitaraṃ,.n.,.m.$.sg.$.acc.,pitu,,,,,1,100,7,irregular,cm
597,pitarānaṁ,.n.,.m.$.pl.$.gen.,pitu,,,,,1,100,9,irregular,cm
598,pitare,.n.,.m.$.pl.$.acc.,pitu,,,,,1,100,6,irregular,cm
