"gramma","count"
medinīkosa,1
medinīkosa16,1
mettagūmāṇavapucchāniddesa,1
mi.pa.,151
mi.pa.1.,4
mi.pa.1.1.,2
mi.pa.1.9.,1
mi.pa.2.,54
mi.pa.2.1.,36
mi.pa.2.2.,3
mi.pa.2.3.,5
mi.pa.2.4.,1
mi.pa.2.6.,3
mi.pa.2.7.,4
mi.pa.3.,2
mi.pa.4.,37
mi.pa.4.1.,15
mi.pa.4.2.,6
mi.pa.4.3.,2
mi.pa.4.4.,3
mi.pa.4.5.,10
mi.pa.5.,29
mi.pa.5.1.,17
mi.pa.5.2.,1
mi.pa.5.3.,6
mi.pa.5.4.,4
mi.pa.6.,23
mi.pa.6.1.,11
mi.pa.6.2.,1
mi.pa.6.3.,2
mi.pa.6.4.,1
mi.pa.6.5.,4
mi.pa.6.6.,4
moga.,1
moggallānabyākaraṇe,2
moggallānabyākaraṇe5.,2
moggallāne,3
moggallāne4.,3
moggallāne4.33.,1
mogharājamāṇavapucchāniddesa,2
mogharājamāṇavapucchāniddese,1
mugdhabodhaṭīkāyaṃ,1
mūlaṭī.,1
nāma.pari.,7
Nāma.pari.,1
nāmassanāmenaavinibbhogovibha.mūlaṭī.,1
natthidī.ni.aṭṭha.,1
natthidī.ni.aṭṭha.1.,1
netti,1
netti.,324
Netti.,1
netti.10.,2
netti.4.,21
netti.aṭṭha.,112
netti.aṭṭha.4.,1
netti.ṭī.,1
nibbattitattāma.ni.ṭī.,1
nibbattitattāma.ni.ṭī.1.,1
nibbutivedanassadī.ni.ṭī.,1
nibbutivedanassadī.ni.ṭī.1.,1
niruttidīpaniyaṃ,1
ṇvādi,1
nyāyabhāssa,1
nyāyabhāssa5.,1
nyāyabhāssa5.2.,2
nyāyabhāssa5.2.10moggallānapañcikāṭīkā1.,1
odhisakaanodhisakadisāpharaṇānaṃma.ni.aṭṭha.,1
odhisakaanodhisakadisāpharaṇānaṃma.ni.aṭṭha.1.,1
pā,1
"pā,",6
"pā,1,",1
"pā,1,1,",1
pā.,1
pā.1.,1
pā.1.4.,1
pa.pa.aṭṭha.,1
paāci.aṭṭha.,1
paci.,2
pāci.,1109
pāci.10.,2
pāci.2.,1
pāci.aṭṭha.,438
pāci.aṭṭha.2.,1
pahā.va.,1
pāṇini,10
pāṇinī,6
pāṇini.,2
pāṇini.2.,1
pāṇini.2.1.,1
pāṇini.3.,1
pāṇini.3.3.,1
pāṇini1.,3
pāṇinī1.,1
pāṇini1.2.,2
pāṇinī1.2.,1
pāṇinī1539saddanītidhātumālāyaṃ,1
pāṇini2.,1
pāṇini2.1.,1
pāṇini3.,3
