anna,13
annā,5
anta,24
ante,1
anti,6
anto,14
anu-,3
anān,1
apa-,3
apa°,1
api-,1
apna,2
app',2
appa,18
appo,1
apya,1
apyi,1
arah,3
aram,1
araṃ,4
asat,5
asaṃ,1
asma,6
asme,2
asmi,13
asmā,19
assa,42
assi,1
asso,2
assu,28
assā,10
atha,13
atho,7
ati-,1
atra,9
atta,27
atth,2
atto,1
attā,4
ava-,3
ava°,1
avaṁ,1
avaṃ,2
avhā,2
avī°,1
ayas,1
ayaŋ,1
ayaṁ,3
ayaṃ,13
ayya,12
ayye,1
ayyo,2
ayyā,6
añca,4
añch,3
añcu,5
añja,3
añji,2
añju,1
añña,21
añño,1
aññā,18
aŋsa,1
aŋsu,1
aḍḍa,6
aḍḍh,8
aḷak,2
aṁsa,4
aṁsi,2
aṁsu,3
aṃha,1
aṃka,3
aṃsa,17
aṃsi,4
aṃso,2
aṃsu,7
aṃsā,4
aṃsī,2
aṅga,33
aṅgi,3
aṅgo,1
aṅgī,5
aṅka,13
aṅko,1
aṇda,2
aṇha,10
aṇḍa,10
aṇḍī,1
aṇṇa,10
aṇṇo,1
aṭha,1
aṭhi,3
aṭṭa,23
aṭṭi,3
aṭṭo,3
bada,3
baha,1
bahi,17
bahu,12
bahū,1
baka,9
bako,1
bakā,1
bala,18
bali,15
balā,1
balī,9
bara,2
bari,2
bata,1
baṅh,1
baṇa,1
beda,2
bela,2
belu,3
bhaj,3
bhal,1
bhan,1
bhar,2
bhas,4
bhañ,2
bhaṁ,2
bhaṃ,1
bhaṇ,3
bhaṭ,1
bhid,5
bhrī,1
bhuj,3
bhur,1
bhāj,1
bhām,1
bhās,4
bhūs,3
bidi,1
bila,18
bisa,2
biḷa,3
bola,1
brah,2
brṅh,1
buda,1
budh,5
buha,1
buja,3
buka,1
bula,1
buli,2
bulī,1
bumū,1
busa,1
buḷa,1
buṭa,1
bya-,2
bya°,1
bādh,3
bāha,1
bāhu,10
bāhā,10
bāla,15
bāle,1
bālo,1
bālā,6
bāṇa,7
bāṇo,1
bāṇā,1
bīja,12
bīji,2
bījī,1
bīla,2
būha,1
cada,3
cadi,3
caha,5
caja,6
caje,2
caji,4
caka,3
caki,1
caks,1
cala,14
cali,4
calo,1
cama,1
camu,6
camū,8
cana,8
cani,2
capa,3
capu,4
cara,20
carc,1
care,9
cari,5
caro,2
caru,4
carv,1
carī,3
casa,3
cata,1
catu,13
catī,2
cava,1
cavi,4
caya,13
cayo,1
cañc,1
caḍi,3
caṇa,3
caṭa,3
cedi,1
cela,11
celu,2
cesṭ,1
ceta,14
ceti,6
ceto,10
cetā,2
cevi,3
ceḷa,2
ceṭa,12
ceṭo,1
ceṭī,3
chad,1
chaḷ,1
chid,4
chrd,1
chur,1
chuṭ,1
chād,2
cibu,1
cica,1
cici,1
ciha,1
cika,3
cila,3
cina,1
cine,3
cini,2
cint,3
cira,11
ciri,3
ciro,1
ciru,1
cirā,1
cita,14
citi,9
cito,1
citā,2
citī,3
civa,2
civu,2
ciṭa,3
coca,9
coda,1
code,2
cola,7
colo,1
colā,2
cora,12
coro,1
corī,15
coḷa,15
cubi,3
cubu,1
cuda,3
cula,1
cumb,3
cupa,3
cura,3
cusa,3
cuta,14
cuti,16
cuto,1
cuḍi,1
cuḷa,1
cuṇa,5
cuṭa,9
cuṭi,3
cyut,1
cāga,14
cāgo,1
cāgī,7
cāhā,1
cāla,8
cālo,1
cālā,3
cālī,2
cāpa,10
cāpo,1
cāpā,2
cāra,13
cāro,1
cāru,12
cārī,8
cāsa,1
cāta,2
cātu,2
cāya,1
cāyu,3
cāṭa,2
cāṭi,10
cāṭu,4
cāṭī,1
cīka,1
cīna,7
cīra,10
cīrā,3
cīrī,8
cīva,1
cīya,1
cūla,17
cūlā,1
cūra,1
cūrī,1
cūsa,1
cūta,3
cūto,1
cūḷa,9
cūḷā,10
cūṇa,1
dabh,1
dabi,3
dada,9
dade,8
dadi,2
dado,1
dagh,1
daha,15
dahi,7
daho,1
daka,13
daks,1
dala,14
dama,13
damo,1
dams,2
damu,3
danu,5
dapa,3
dapu,1
dara,19
dari,2
daro,1
darī,11
dasa,27
dasi,5
daso,1
dasā,10
dati,1
dava,15
davo,2
davā,1
daya,5
dayā,12
daḍi,1
daṅs,1
daṇḍ,2
deha,10
dehi,2
deho,1
dehī,9
deka,3
deki,1
dema,3
demi,3
depa,1
desa,11
desi,3
deso,1
desu,2
desī,1
deti,12
detu,2
deva,22
devo,1
devu,5
devā,2
devī,14
deṭa,2
dham,3
dhan,1
dhar,4
dhav,1
dhe0,2
dhov,2
dhrs,1
dhvr,1
dhyā,1
dhāv,3
dibī,1
dica,2
digu,5
diha,3
dija,13
dijo,1
dina,10
dipa,1
disa,23
diso,2
diss,2
disā,13
disī,5
diti,3
diva,12
divi,1
divo,1
divu,7
divā,11
doha,9
dohī,6
dola,1
dolā,12
dona,1
donī,1
dosa,17
doso,4
dosā,6
dosī,2
doḷā,2
doṇa,11
doṇi,8
doṇo,1
doṇī,7
dram,1
drbh,1
druh,1
drāḍ,1
dubi,2
dudh,1
duha,11
duhe,2
duhi,7
duhū,1
duka,12
dula,3
duma,10
dumo,1
dur-,2
dura,1
dusa,5
duta,1
dutī,2
duve,6
duṇa,3
dva°,1
dvis,1
dyut,1
dāha,8
dāho,1
dāhu,3
dāma,9
dāmā,3
dāna,19
dāni,11
dāra,12
dāro,1
dāru,16
dārā,1
dāsa,14
dāso,1
dāsu,2
dāsī,11
dāta,1
dāti,3
dāto,1
dātu,6
dātā,2
dāva,6
dāya,14
dāyi,2
dāyo,2
dāyī,4
dāḷa,3
dīks,1
dīna,13
dīno,1
dīpa,22
dīpi,6
dīpo,3
dīpī,6
dūra,10
dūre,4
dūro,1
dūrā,4
dūrī,2
dūsa,3
dūsī,4
dūta,15
dūto,1
dūtī,6
ebhi,4
edha,10
edhi,2
edho,1
edīi,1
ekaṃ,1
ekdi,1
ekra,1
enta,5
esaṃ,5
esin,6
essa,1
etad,100
etan,1
etaṃ,100
eti,11
etta,5
etto,11
eva,100
evam,1
evaŋ,1
evaṃ,100
eḷaṃ,1
eṭha,3
gach,1
gada,15
gadh,1
gadi,2
gado,1
gadā,7
gaha,22
gaho,2
gaja,15
gaji,1
gajj,2
gajo,1
gala,14
gali,2
galo,1
gama,8
game,6
gami,7
gamo,4
gamu,3
gamā,1
gamī,3
gamū,2
gara,9
gard,1
garh,1
garj,1
garu,20
garā,1
garī,1
gasa,1
gasu,3
gata,14
gati,13
gato,1
gatī,1
gava,10
gavi,3
gavā,1
gaya,1
gayā,7
gaḍa,1
gaḍi,5
gaḷa,7
gaṇa,16
gaṇo,1
gaṇī,8
gedu,1
geha,10
gepa,1
gesa,1
gevu,3
ghas,2
ghaṭ,4
ghrs,1
ghrā,1
ghus,3
ghuṭ,1
gidh,2
giha,2
gihi,2
gihī,7
gila,5
gile,3
gili,5
gilā,2
gilī,2
gini,11
gira,4
giri,13
girā,11
glah,1
glap,1
gohi,1
gola,1
golā,1
goma,3
gomā,2
gomī,2
gona,1
gopa,7
gopo,1
gopī,8
gora,3
goro,1
gorī,1
gota,3
gotā,1
goḷa,7
goḷo,1
goṇa,12
goṇo,1
grah,1
gras,1
grdh,1
gucu,3
guda,10
guha,5
guhā,10
guhū,3
guja,1
guji,3
gula,1
gulā,2
guna,1
gupa,7
guph,1
gura,1
guru,8
guñj,1
guḍi,1
guḍā,1
guḷa,20
guḷo,1
guḷā,7
guṇa,17000
guṇi,6
guṇo,1
guṇī,7
guṇḍ,2
gādh,2
gāha,12
gāhi,2
gāho,2
gāhu,2
gāhī,9
gāhū,1
gāma,14
gāmo,1
gāmī,9
gāna,7
gāti,1
gāvi,2
gāvo,9
gāvī,11
gāya,2
gāyi,4
gīta,13
gīti,3
gīvā,11
gūhi,2
gūhā,1
gūrd,1
hada,5
haga,1
hala,5
hams,2
hana,6
hane,2
hani,4
hanu,12
hara,12
hare,8
hari,13
haro,2
hasa,4
hasi,2
hasu,2
hata,7
hati,3
hato,1
hava,2
have,9
havi,2
havo,1
haya,10
hayo,1
hayā,1
haḷa,2
haṭa,16
haṭo,1
heli,1
helā,2
hema,8
hemo,1
hesa,2
hesu,5
hesā,8
heti,2
hetu,12
heva,1
heḷa,5
heṭh,2
hikk,1
hila,2
hima,9
himo,1
hind,2
hiri,10
hirī,4
hisa,2
hisi,4
hita,10
hito,1
hiḍi,2
hiṅs,1
hiṇḍ,1
hlād,1
hohi,1
homa,7
homo,1
hona,1
horā,5
hoti,10
hotā,1
hoḷa,5
hras,1
hres,1
hrād,1
hula,4
hura,2
husā,2
huta,10
huti,1
huto,1
huḍi,2
huḷa,2
hval,1
hāka,1
hāna,4
hāni,9
hāra,7
hāri,4
hāro,1
hārā,1
hārī,2
hāsa,9
hāso,1
hātā,1
hāva,1
hāvo,1
hāya,1
hāyi,2
hāyī,5
hīna,10
hīno,1
hīra,8
hīyi,2
hīyo,7
hīḷa,2
hūti,5
ibha,8
ibho,1
icc',1
icca,3
idaŋ,1
idaṁ,1
idaṃ,12
idha,20
idhi,1
ijjā,4
ikha,1
ikhi,3
ikka,6
ikkh,3
ikko,1
illī,9
imaṃ,8
inda,12
indh,3
indo,1
indu,5
indū,1
inta,1
iriy,1
iriyāpatha,7
issa,14
isso,1
issā,15
itih,1
iñja,3
iñji,2
iḍaṃ,1
iṅga,5
iṅgo,1
iṅkh,1
iṇaṃ,1
jagh,1
jaha,12
jahe,8
jahi,6
jaho,1
jahī,3
jaja,3
jaji,3
jaks,1
jala,19
jali,2
jalp,1
jama,1
jamu,3
jana,16
jano,1
janī,6
japa,11
jape,2
japi,2
japp,2
japā,8
jara,19
jaro,1
jarā,15
jasa,7
jasi,3
jasu,1
jatu,12
jatā,1
java,12
javi,4
javo,1
javā,1
jaya,12
jayi,2
jayo,1
jayā,4
jayī,2
jaḍa,3
jaḷa,11
jaḷo,1
jaṭa,11
jaṭā,12
jaṭī,5
jeha,1
jehu,3
jesa,1
jesi,2
jesu,3
jeta,3
jeti,11
jetu,2
jetā,2
jhar,1
jhaṇ,1
jhaṭ,1
jhāp,2
jimu,3
jina,10
jine,8
jini,6
jino,1
jira,1
jiri,3
jisu,3
jita,11
jiti,2
jito,1
jitā,1
jivi,1
jiya,2
jiyā,11
joti,15
jugi,3
juhe,2
juhi,2
jula,1
juna,1
jusa,5
jusi,5
juta,7
juti,12
juḍa,1
juḷa,7
jval,1
jvar,1
jyut,1
jāgr,1
jāgu,2
jāla,14
jāli,1
jālā,10
jālī,8
jāna,11
jāne,2
jāni,18
jānu,6
jāra,9
jāro,1
jārī,10
jāta,12
jāti,16
jāto,3
jātu,11
jātā,1
jātī,2
jāya,2
jāyi,5
jāyu,1
jāyā,11
jāṇu,6
jīna,12
jīra,4
jīri,4
jīta,1
jīva,21
jīve,4
jīvi,4
jīvo,1
jīvā,2
jīvī,8
jīyi,4
jūrv,1
jūrī,1
jūsa,1
jūta,11
kaba,1
kabi,1
kaca,12
kaci,1
kada,5
kadi,5
kad°,1
kadā,11
kaji,1
kaka,4
kakh,2
kaki,4
kaku,12
kala,18
kali,15
kalo,1
kalā,12
kama,12
kami,4
kamo,1
kamp,3
kamu,5
kana,3
kand,2
kapa,5
kapi,14
kapp,2
kapu,7
kara,26
kare,3
kari,3
karo,2
karoti,14
karī,9
kasa,7
kasi,10
kassapagotta,6
kasā,11
kasī,7
kata,16
kate,6
kath,2
kati,20
kato,1
katu,5
kava,4
kavi,13
kaya,11
kayo,1
kayī,2
kaḍa,1
kaḍi,3
kaḷa,7
kaḷi,2
kaḷu,1
kaṇa,16
kaṇo,1
kaṇā,3
kaṇī,1
kaṭa,27
kaṭi,12
kaṭo,2
kaṭu,6
kaṭā,2
keci,4
kehi,4
keka,8
kekā,8
kekī,4
kela,3
kele,3
keli,3
kelu,2
kena,6
kepa,1
kepu,2
kesa,14
kesi,3
keso,1
kesu,2
kesī,4
keta,6
ketu,13
keva,1
kevu,2
keḷi,5
keḷī,2
keṇi,3
keṇu,2
keṇī,1
khac,1
khad,1
kham,2
khan,3
khaṃ,1
khel,1
khid,3
khip,2
khub,2
khyā,5
khād,3
khāḷ,2
kici,3
kiha,2
kiki,1
kikī,9
kila,13
kili,6
kimi,10
kimu,3
kipa,3
kira,12
kiri,5
kisa,12
kiso,1
kita,13
kitt,2
kivi,3
kiñc,2
kiṇi,3
kiṭa,3
kiṭi,1
klam,1
klav,1
klid,1
koca,3
koci,12
koja,4
koka,12
koko,1
kokā,1
kola,15
kolā,3
kolī,4
kopa,11
kopo,1
kopī,6
kora,2
korī,2
kosa,14
kosi,2
koso,2
kosī,9
kota,1
koti,1
kott,2
kovā,2
koḷa,2
koṇa,10
koṇo,1
koṇā,2
koṇḍ,1
