58280,lahukadassana,.n:base.,.nt.,,,83096,ahuka+dassana,,1,100,13,pm,cm
58281,lahukaduka,.n:base.,.nt.,,,83097,ahuka+duka,,1,100,10,pm,cm
58282,lahukakamma,.n:base.,.nt.,,,83100,ahuka+kamma,,1,100,11,pm,cm
58283,lahukamaraṇa,.n:base.,.nt.,,,83102,ahuka+maraṇa,,1,100,12,pm,cm
58284,lahukamma,.n:base.,.nt.,,,83103,ahu+kamma,,1,100,9,pm,cm
58285,lahukaviññāṇa,.n:base.,.nt.,,,83112,ahuka+viññāṇa,,1,100,13,pm,cm
58286,lahuparivattana,.n:base.,.nt.,,,83127,ahuparivattana+tta,,1,100,15,pm,cm
58287,lahupāvuraṇa,.n:base.,.nt.,,,83135,ahu+pāvuraṇa,,1,100,12,pm,cm
58288,lahupāvuraṇasikkhāpada,.n:base.,.nt.,,,83136,ahupāvuraṇa+sikkhāpada,,1,100,22,pm,cm
58289,lahusādhana,.n:base.,.nt.,,,83141,ahu+sādhana,,1,100,11,pm,cm
58290,lahutādittaya,.n:base.,.nt.,,,83147,ahutā+ādi+haya,,1,100,13,pm,cm
58291,lahuupaṭṭhāna,.n:base.,.nt.,,,83156,ahu+upaṭṭhāna,,1,100,13,pm,cm
58292,lahuviññāṇa,.n:base.,.nt.,,,83159,ahu+viññāṇa,,1,100,11,pm,cm
58293,lahuvuṭṭhānadhiṭṭhāna,.n:base.,.nt.,,,83162,ahu+guṭṭhāna+adhiṭṭhāna,,1,100,21,pm,cm
58294,lājapakkhipana,.n:base.,.nt.,,,83166,āja+pakkhipana,,1,100,14,pm,cm
58295,lājasata,.n:base.,.nt.,,,83171,āja+sata,,1,100,8,pm,cm
58296,lājāsata,.n:base.,.nt.,,,83172,ājā+sata,,1,100,8,pm,cm
58297,lājāvikiraṇa,.n:base.,.nt.,,,83175,ājā+vikiraṇa,,1,100,12,pm,cm
58298,lajjābhaya,.n:base.,.nt.,,,83180,ajjā+bhaya,,1,100,10,pm,cm
58299,lajjana,.n:base.,.nt.,,,83188,ajja+yu,,1,100,7,pm,cm
58300,lajjanaka,.n:base.,.nt.,,,83189,ajjana+ka,,1,100,9,pm,cm
58301,lajjanakicca,.n:base.,.nt.,,,83192,ajjana+kicca,,1,100,12,pm,cm
58302,lajjīgahaṇa,.n:base.,.nt.,,,83231,ajjī-gahaṇa,,1,100,11,pm,cm
58303,lajjilakkhaṇa,.n:base.,.nt.,,,83233,ajjī+lakkhaṇa,,1,100,13,pm,cm
58304,lajjīsāmaṇeraggahaṇa,.n:base.,.nt.,,,83248,ajjīsāmaṇera+gahaṇa,,1,100,20,pm,cm
58305,lajjita,.n:base.,.nt.,,,83253,ajja+ta,,1,100,7,pm,cm
58306,lajjiṭṭhāna,.n:base.,.nt.,,,83258,ajjī+ṭhāna,,1,100,11,pm,cm
58307,lākhākoṭṭana,.n:base.,.nt.,,,83273,ākhā+koṭṭana,,1,100,12,pm,cm
58308,lākhālañchana,.n:base.,.nt.,,,83274,ākhā+lañchana,,1,100,13,pm,cm
58309,lākhāparikamma,.n:base.,.nt.,,,83276,ākhā+parikamma,,1,100,14,pm,cm
58310,lakkhakoṭisamāpattisamāpajjana,.n:base.,.nt.,,,83292,akkhakoṭi+samāpatti+samāpajjana,,1,100,30,pm,cm
58311,lakkhaṇa,.n:base.,.nt.,,,83293,akkha+yu,,1,100,8,pm,cm
58312,lakkhaṇa,.n:base.,.nt.,,,83294,akkhaṇa+kathana,,1,100,8,pm,cm
58313,lakkhaṇa,.n:base.,.nt.,,,83295,akkhaṇa+paṭilābha,,1,100,8,pm,cm
58314,lakkhaṇa,.n:base.,.nt.,,,83296,akkhaṇa+abhinivesa,,1,100,8,pm,cm
58315,lakkhaṇacakka,.n:base.,.nt.,,,83305,akkhaṇā+cakka,,1,100,13,pm,cm
58316,lakkhaṇadassana,.n:base.,.nt.,,,83308,akkhaṇa+dassana,,1,100,15,pm,cm
58317,lakkhaṇadīpakasattha,.n:base.,.nt.,,,83312,akkhaṇadīpaka+sattha,,1,100,20,pm,cm
58318,lakkhaṇadvaya,.n:base.,.nt.,,,83318,akkhaṇa+dvaya,,1,100,13,pm,cm
58319,lakkhaṇadvayavacana,.n:base.,.nt.,,,83319,akkhaṇadvaya+vacana,,1,100,19,pm,cm
58320,lakkhaṇāhanana,.n:base.,.nt.,,,83320,akkhaṇa+āhanana,,1,100,14,pm,cm
58321,lakkhaṇajānana,.n:base.,.nt.,,,83332,akkhaṇa+jānana,,1,100,14,pm,cm
58322,lakkhaṇajānanasattha,.n:base.,.nt.,,,83333,akkhaṇajānana+sattha,,1,100,20,pm,cm
58323,lakkhaṇakaraṇa,.n:base.,.nt.,,,83337,akkhaṇa+karaṇa,,1,100,14,pm,cm
