#,telugu,1
summary,pali to telugu,2
font,times,3
size,90%,4
author,siddhattha,5
data,2019/3/14,6
#,,7
ṇḍai,ణ్డై
ttai,త్తై
ntai,న్తై
thai,థై
ddai,ద్దై
ndai,న్దై
dhai,ధై
nnai,న్నై
nhai,న్హై
ppai,ప్పై
mpai,మ్పై
phai,ఫై
bbai,బ్బై
mbai,మ్బై
bhai,భై
mmai,మ్మై
mhai,మ్హై
yyai,య్యై
yhai,య్హై
rrai,ర్రై
ṛṛai,ఱ్ఱై
llai,ల్లై
lhai,ల్హై
ḷḷai,ళ్ళై
ḷhai,ళ్హై
vvai,వ్వై
vhai,వ్హై
śśai,శ్శై
shai,షై
ssai,స్సై
smai,స్మై
hhai,హ్హై
hmai,హ్మై
kkho,క్ఖొ
ggho,ఘ్ఘొ
ccho,ఛ్ఛొ
jjho,ఝ్ఝొ
ñcho,ఞ్ఛొ
ñjho,ఞ్ఝొ
ṭṭho,ఠ్ఠొ
ḍḍho,ఢ్ఢొ
ṇṭho,ణ్ఠొ
ṇḍho,ణ్ఢొ
ttho,త్థొ
ntho,న్థొ
ddho,ద్ధొ
ndho,న్ధొ
ppho,ప్ఫొ
mpho,మ్ఫొ
bbho,బ్భొ
mbho,మ్భొ
kkhō,క్ఖో
gghō,ఘ్ఘో
cchō,ఛ్ఛో
jjhō,ఝ్ఝో
ñchō,ఞ్ఛో
ñjhō,ఞ్ఝో
ṭṭhō,ఠ్ఠో
ḍḍhō,ఢ్ఢో
ṇṭhō,ణ్ఠో
ṇḍhō,ణ్ఢో
tthō,త్థో
nthō,న్థో
ddhō,ద్ధో
ndhō,న్ధో
pphō,ప్ఫో
mphō,మ్ఫో
bbhō,బ్భో
mbhō,మ్భో
kkao,క్కౌ
kmao,క్మౌ
khao,ఖౌ
ggao,గ్గౌ
ghao,ఘౌ
ccao,చ్చౌ
chao,ఛౌ
jjao,జ్జౌ
jhao,ఝౌ
jñao,జ్ఞౌ
ññao,ఞ్ఞౌ
ñhao,ఞ్హౌ
ñcao,ఞ్చౌ
ñjao,ఞ్జౌ
ṭṭao,ట్టౌ
ṭhao,ఠౌ
ḍḍao,డ్డౌ
ḍhao,ఢౌ
ṇṇao,ణ్ణౌ
ṇhao,ణ్హౌ
ṇṭao,ణ్టౌ
nṭao,న్టౌ
ṇḍao,ణ్డౌ
ttao,త్తౌ
ntao,న్తౌ
thao,థౌ
ddao,ద్దౌ
ndao,న్దౌ
dhao,ధౌ
nnao,న్నౌ
nhao,న్హౌ
ppao,ప్పౌ
mpao,మ్పౌ
phao,ఫౌ
bbao,బ్బౌ
mbao,మ్బౌ
bhao,భౌ
mmao,మ్మౌ
mhao,మ్హౌ
yyao,య్యౌ
yhao,య్హౌ
rrao,ర్రౌ
ṛṛao,ఱ్ఱౌ
llao,ల్లౌ
lhao,ల్హౌ
ḷḷao,ళ్ళౌ
ḷhao,ళ్హౌ
vvao,వ్వౌ
vhao,వ్హౌ
śśao,శ్శౌ
shao,షౌ
ssao,స్సౌ
smao,స్మౌ
hhao,హ్హౌ
hmao,హ్మౌ
kkaṃ,క్కం
kmaṃ,క్మం
khaṃ,ఖం
ggaṃ,గ్గం
ghaṃ,ఘం
ccaṃ,చ్చం
chaṃ,ఛం
jjaṃ,జ్జం
jhaṃ,ఝం
jñaṃ,జ్ఞం
ññaṃ,ఞ్ఞం
ñhaṃ,ఞ్హం
ñcaṃ,ఞ్చం
ñjaṃ,ఞ్జం
ṭṭaṃ,ట్టం
ṭhaṃ,ఠం
ḍḍaṃ,డ్డం
ḍhaṃ,ఢం
ṇṇaṃ,ణ్ణం
ṇhaṃ,ణ్హం
ṇṭaṃ,ణ్టం
nṭaṃ,న్టం
ṇḍaṃ,ణ్డం
ttaṃ,త్తం
ntaṃ,న్తం
thaṃ,థం
ddaṃ,ద్దం
ndaṃ,న్దం
dhaṃ,ధం
nnaṃ,న్నం
nhaṃ,న్హం
ppaṃ,ప్పం
mpaṃ,మ్పం
phaṃ,ఫం
bbaṃ,బ్బం
mbaṃ,మ్బం
bhaṃ,భం
mmaṃ,మ్మం
mhaṃ,మ్హం
yyaṃ,య్యం
yhaṃ,య్హం
rraṃ,ర్రం
ṛṛaṃ,ఱ్ఱం
llaṃ,ల్లం
lhaṃ,ల్హం
ḷḷaṃ,ళ్ళం
ḷhaṃ,ళ్హం
vvaṃ,వ్వం
vhaṃ,వ్హం
śśaṃ,శ్శం
shaṃ,షం
ssaṃ,స్సం
smaṃ,స్మం
hhaṃ,హ్హం
hmaṃ,హ్మం
kkah,క్కః
kmah,క్మః
khah,ఖః
ggah,గ్గః
ghah,ఘః
ccah,చ్చః
chah,ఛః
jjah,జ్జః
jhah,ఝః
jñah,జ్ఞః
ññah,ఞ్ఞః
ñhah,ఞ్హః
ñcah,ఞ్చః
ñjah,ఞ్జః
ṭṭah,ట్టః
ṭhah,ఠః
ḍḍah,డ్డః
ḍhah,ఢః
ṇṇah,ణ్ణః
ṇhah,ణ్హః
ṇṭah,ణ్టః
nṭah,న్టః
ṇḍah,ణ్డః
ttah,త్తః
ntah,న్తః
thah,థః
ddah,ద్దః
ndah,న్దః
dhah,ధః
nnah,న్నః
nhah,న్హః
ppah,ప్పః
mpah,మ్పః
phah,ఫః
bbah,బ్బః
mbah,మ్బః
bhah,భః
mmah,మ్మః
mhah,మ్హః
yyah,య్యః
yhah,య్హః
rrah,ర్రః
ṛṛah,ఱ్ఱః
llah,ల్లః
lhah,ల్హః
ḷḷah,ళ్ళః
ḷhah,ళ్హః
vvah,వ్వః
vhah,వ్హః
śśah,శ్శః
shah,షః
ssah,స్సః
smah,స్మః
hhah,హ్హః
hmah,హ్మః
kkiṃ,క్కిం
kmiṃ,క్మిం
khiṃ,ఖిం
ggiṃ,గ్గిం
ghiṃ,ఘిం
cciṃ,చ్చిం
chiṃ,ఛిం
jjiṃ,జ్జిం
jhiṃ,ఝిం
jñiṃ,జ్ఞిం
ññiṃ,ఞ్ఞిం
ñhiṃ,ఞ్హిం
ñciṃ,ఞ్చిం
ñjiṃ,ఞ్జిం
ṭṭiṃ,ట్టిం
ṭhiṃ,ఠిం
ḍḍiṃ,డ్డిం
ḍhiṃ,ఢిం
ṇṇiṃ,ణ్ణిం
ṇhiṃ,ణ్హిం
ṇṭiṃ,ణ్టిం
nṭiṃ,న్టిం
ṇḍiṃ,ణ్డిం
ttiṃ,త్తిం
ntiṃ,న్తిం
thiṃ,థిం
ddiṃ,ద్దిం
ndiṃ,న్దిం
dhiṃ,ధిం
nniṃ,న్నిం
nhiṃ,న్హిం
ppiṃ,ప్పిం
mpiṃ,మ్పిం
phiṃ,ఫిం
bbiṃ,బ్బిం
mbiṃ,మ్బిం
bhiṃ,భిం
mmiṃ,మ్మిం
mhiṃ,మ్హిం
yyiṃ,య్యిం
yhiṃ,య్హిం
rriṃ,ర్రిం
ṛṛiṃ,ఱ్ఱిం
lliṃ,ల్లిం
lhiṃ,ల్హిం
ḷḷiṃ,ళ్ళిం
ḷhiṃ,ళ్హిం
vviṃ,వ్విం
vhiṃ,వ్హిం
śśiṃ,శ్శిం
shiṃ,షిం
ssiṃ,స్సిం
smiṃ,స్మిం
hhiṃ,హ్హిం
hmiṃ,హ్మిం
kkuṃ,క్కుం
kmuṃ,క్ముం
khuṃ,ఖుం
gguṃ,గ్గుం
ghuṃ,ఘుం
ccuṃ,చ్చుం
chuṃ,ఛుం
jjuṃ,జ్జుం
jhuṃ,ఝుం
jñuṃ,జ్ఞుం
ññuṃ,ఞ్ఞుం
ñhuṃ,ఞ్హుం
ñcuṃ,ఞ్చుం
ñjuṃ,ఞ్జుం
ṭṭuṃ,ట్టుం
ṭhuṃ,ఠుం
ḍḍuṃ,డ్డుం
ḍhuṃ,ఢుం
ṇṇuṃ,ణ్ణుం
ṇhuṃ,ణ్హుం
ṇṭuṃ,ణ్టుం
nṭuṃ,న్టుం
ṇḍuṃ,ణ్డుం
ttuṃ,త్తుం
ntuṃ,న్తుం
thuṃ,థుం
dduṃ,ద్దుం
nduṃ,న్దుం
dhuṃ,ధుం
nnuṃ,న్నుం
nhuṃ,న్హుం
ppuṃ,ప్పుం
mpuṃ,మ్పుం
phuṃ,ఫుం
bbuṃ,బ్బుం
mbuṃ,మ్బుం
bhuṃ,భుం
mmuṃ,మ్ముం
mhuṃ,మ్హుం
yyuṃ,య్యుం
yhuṃ,య్హుం
rruṃ,ర్రుం
ṛṛuṃ,ఱ్ఱుం
lluṃ,ల్లుం
lhuṃ,ల్హుం
ḷḷuṃ,ళ్ళుం
ḷhuṃ,ళ్హుం
vvuṃ,వ్వుం
vhuṃ,వ్హుం
śśuṃ,శ్శుం
shuṃ,షుం
ssuṃ,స్సుం
smuṃ,స్ముం
hhuṃ,హ్హుం
hmuṃ,హ్ముం
kkra,క్క్ర
kmra,క్మ్ర
khra,ఖ్ర
ggra,గ్గ్ర
ghra,ఘ్ర
ccra,చ్చ్ర
chra,ఛ్ర
jjra,జ్జ్ర
jhra,ఝ్ర
jñra,జ్ఞ్ర
ññra,ఞ్ఞ్ర
ñhra,ఞ్హ్ర
ñcra,ఞ్చ్ర
ñjra,ఞ్జ్ర
ṭṭra,ట్ట్ర
ṭhra,ఠ్ర
ḍḍra,డ్డ్ర
ḍhra,ఢ్ర
ṇṇra,ణ్ణ్ర
ṇhra,ణ్హ్ర
ṇṭra,ణ్ట్ర
nṭra,న్ట్ర
ṇḍra,ణ్డ్ర
ttra,త్త్ర
ntra,న్త్ర
thra,థ్ర
ddra,ద్ద్ర
ndra,న్ద్ర
dhra,ధ్ర
nnra,న్న్ర
nhra,న్హ్ర
ppra,ప్ప్ర
mpra,మ్ప్ర
phra,ఫ్ర
bbra,బ్బ్ర
mbra,మ్బ్ర
bhra,భ్ర
mmra,మ్మ్ర
mhra,మ్హ్ర
yyra,య్య్ర
yhra,య్హ్ర
rrra,ర్ర్ర
ṛṛra,ఱ్ఱ్ర
llra,ల్ల్ర
lhra,ల్హ్ర
ḷḷra,ళ్ళ్ర
ḷhra,ళ్హ్ర
vvra,వ్వ్ర
vhra,వ్హ్ర
śśra,శ్శ్ర
shra,ష్ర
ssra,స్స్ర
smra,స్మ్ర
hhra,హ్హ్ర
hmra,హ్మ్ర
kkya,క్క్య
kmya,క్మ్య
khya,ఖ్య
ggya,గ్గ్య
ghya,ఘ్య
ccya,చ్చ్య
chya,ఛ్య
jjya,జ్జ్య
